,Gene,Name,Parent Gene,Final_name
552,gene400,sll0639,sll0639,sll0639
553,gene401,sll0638,sll0638,sll0638
555,gene402,,slr0692,slr0692
557,gene403,,sll0635,sll0635
559,gene404,,sll0634,sll0634
560,gene405,slr0695,slr0695,slr0695
561,gene406,slr1590,slr1590,slr1590
562,gene407,slr1591,slr1591,slr1591
563,gene408,slr1592,slr1592,slr1592
564,gene409,slr1593,slr1593,slr1593
565,gene410,slr1594,slr1594,slr1594
566,gene411,slr1595,slr1595,slr1595
567,gene412,sll1516,sll1516,sll1516
569,gene413,,slr1596,slr1596
570,gene414,sll1515,sll1515,sll1515
571,gene415,slr1597,slr1597,slr1597
573,gene416,,sll1514,sll1514
575,gene417,,sll1513,sll1513
576,gene418,sll1512,sll1512,sll1512
578,gene419,,slr1598,slr1598
579,gene420,sll1511,sll1511,sll1511
580,gene421,sll1510,sll1510,sll1510
582,gene422,,sll1509,sll1509
583,gene423,slr1599,slr1599,slr1599
584,gene424,slr1600,slr1600,slr1600
586,gene425,,smr0005,smr0005
587,gene426,slr1601,slr1601,slr1601
589,gene427,,sll1508,sll1508
590,gene428,sll1507,sll1507,sll1507
591,gene429,slr1603,slr1603,slr1603
593,gene430,,slr1604,slr1604
594,gene431,ssr2699,ssr2699,ssr2699
596,gene432,,ssl2923,ssl2923
598,gene433,,ssl2922,ssl2922
599,gene434,ssl2920,ssl2920,ssl2920
600,gene435,sll1505,sll1505,sll1505
601,gene436,sll1504,sll1504,sll1504
602,gene437,sll1503,sll1503,sll1503
604,gene438,,sll1502,sll1502
605,gene439,ssr2708,ssr2708,ssr2708
606,gene440,ssr2711,ssr2711,ssr2711
608,gene441,,slr1608,slr1608
610,gene442,,sll1501,sll1501
611,gene443,sll1500,sll1500,sll1500
612,gene444,slr1609,slr1609,slr1609
613,gene445,slr1041,slr1041,slr1041
614,gene446,slr1042,slr1042,slr1042
615,gene447,slr1043,slr1043,slr1043
617,gene448,,slr1044,slr1044
618,gene449,slr1045,slr1045,slr1045
619,gene450,slr1046,slr1046,slr1046
621,gene451,,slr1047,slr1047
622,gene452,slr1048,slr1048,slr1048
623,gene453,sll1011,sll1011,sll1011
625,gene454,,ssr1736,ssr1736
626,gene455,slr1050,slr1050,slr1050
628,gene456,,slr1051,slr1051
629,gene457,slr1052,slr1052,slr1052
